metodo;parametro_real;label;n0;n1;proporcao;se;ic_inf;ic_sup
Espaço transformado;(0.2, 0.5);(0.2, 0.3);100;1;0.0425;0.00713212363185047;0.0285210376815731;0.0564789623184269
Espaço transformado;(0.2, 0.5);(0.2, 0.3);100;25;0.1475;0.0125371323475506;0.122927220598801;0.172072779401199
Espaço transformado;(0.2, 0.5);(0.2, 0.5);100;1;0.055;0.00806031947257675;0.0392017738337496;0.0707982261662504
Espaço transformado;(0.2, 0.5);(0.2, 0.5);100;25;0.04625;0.0074255418573327;0.0316959379596279;0.0608040620403721
Espaço transformado;(0.2, 0.5);(0.4, 0.3);100;1;0.05;0.00770551750371122;0.034897185692726;0.065102814307274
Espaço transformado;(0.2, 0.5);(0.4, 0.3);100;25;0.09375;0.0103053952799007;0.0735514252513946;0.113948574748605
Espaço transformado;(0.2, 0.5);(0.4, 0.5);100;1;0.08;0.00959166304662544;0.0612003404286141;0.0987996595713859
Espaço transformado;(0.2, 0.5);(0.4, 0.5);100;25;0.11625;0.0113322514036267;0.0940387872488916;0.138461212751108
